"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          23,       -3.85862138,     -0.8165772287,      -1.766913819,       1.639196486,      -6.979069706,          1021.356,    0.009081192769,     -0.0553382497,                 0,                 0,                 0,    0.001022065095,    0.009081192769,     -0.0553382497,                 0,      -6.093720407,   0.0001500018564
          0,           0,          24,       -3.94804334,      -0.829539392,      -1.773946048,       1.546728809,      -6.984342527,          1021.356,    0.009016503664,    -0.05845807858,                 0,                 0,                 0,    0.001361937638,    0.009016503664,    -0.05845807858,                 0,      -6.483453095,   0.0001500018564
          0,           0,          25,      -4.015511235,      -0.843730157,      -1.794750875,       1.466972538,      -6.988594309,          1021.356,    0.008952611993,    -0.06113356669,                 0,                 0,                 0,    0.001761434359,    0.008952611993,    -0.06113356669,                 0,       -6.82857324,   0.0001500018564
          0,           0,          26,      -4.041227726,     -0.8584579918,      -1.824496956,       1.421139504,      -6.981502248,          1021.356,     0.00888909583,    -0.06294046457,                 0,                 0,                 0,    0.002108602287,     0.00888909583,    -0.06294046457,                 0,      -7.080637421,   0.0001500018564
          0,           0,          27,      -4.029356818,     -0.8729586657,      -1.856932998,       1.415612432,       -6.97405122,          1021.356,    0.008825716535,    -0.06358278259,                 0,                 0,                 0,    0.002305580152,    0.008825716535,    -0.06358278259,                 0,      -7.204262944,   0.0001500018564
          0,           0,          28,      -4.001221755,     -0.8865319601,      -1.885887816,       1.434782265,      -6.968554302,          1021.356,    0.008762329128,    -0.06290984376,                 0,                 0,                 0,    0.002277612715,    0.008762329128,    -0.06290984376,                 0,      -7.179580091,   0.0001500018564
          0,           0,          29,       -3.97265001,     -0.8987037774,      -1.907621656,        1.46057376,      -6.964456961,          1021.356,    0.008698871296,    -0.06091101931,                 0,                 0,                 0,    0.001978870151,    0.008698871296,    -0.06091101931,                 0,      -7.002175023,   0.0001500018564
          0,           0,          30,      -3.949574572,     -0.9093049464,       -1.92216197,       1.483955417,       -6.96117765,          1021.356,     0.00863535623,     -0.0576981641,                 0,                 0,                 0,    0.001394898459,     0.00863535623,     -0.0576981641,                 0,      -6.681619444,   0.0001500018564
          0,           0,          31,      -3.932576098,     -0.9184578137,      -1.932235083,       1.502713992,       -6.95843466,          1021.356,    0.008571823612,    -0.05348031588,                 0,                 0,                 0,   0.0005416677497,    0.008571823612,    -0.05348031588,                 0,      -6.239082639,   0.0001500018564
          0,           0,          32,      -3.920317782,      -0.926496458,      -1.941124417,       1.517519662,      -6.956023491,          1021.356,    0.008508276085,    -0.04853305339,                 0,                 0,                 0,  -0.0005385983002,    0.008508276085,    -0.04853305339,                 0,      -5.704217035,   0.0001500018564
          0,           0,          33,      -3.911175343,     -0.9338530628,      -1.951245279,       1.529701728,      -6.953874517,          1021.356,     0.00844463057,    -0.04316653528,                 0,                 0,                 0,   -0.001783876794,     0.00844463057,    -0.04316653528,                 0,      -5.111713879,   0.0001500018564
          0,           0,          34,      -3.903942609,     -0.9409506719,      -1.963713153,       1.540251198,      -6.951904842,          1021.356,    0.008380696159,    -0.03769518345,                 0,                 0,                 0,    -0.00312009245,    0.008380696159,    -0.03769518345,                 0,      -4.497858261,   0.0001500018564
